Категорија,Производ и грамажа,Најниска цена (ден.),Маркет,Датум,Забелешка
Деликатес & Паштети,Delmaris Туна паштета 95гр,73.0,Пакет,28.08.2026,
Деликатес & Паштети,Kulen Globus 1кг,950.0,Јоцо Мес,07.09.2026,Цена за 1 кг
Деликатес & Паштети,Pik Vrbovec Мортадела 150г,76.0,Пакет,28.08.2026,
Деликатес & Паштети,Аргета Паштета од туна 95гр,64.0,Пакет,28.08.2026,
Деликатес & Паштети,Аргета Туна со тимијан и лимон 95гр,64.0,Пакет,28.08.2026,
Деликатес & Паштети,Колбас грил 1кг,399.0,Јоцо Мес,07.09.2026,Цена за 1 кг
Деликатес & Паштети,Печеница на дрва 1кг,710.0,Јоцо Мес,07.09.2026,Цена за 1 кг
Деликатес & Паштети,Пршута Крудо 120гр,159.0,КАМ,20.09.2026,
Замрзнато & Зимница,Frikom Златна мешавина 400гр,69.0,Ramstore,15.09.2026,Намалено од 95.0 ден.
Замрзнато & Зимница,Podravka Корнишони 680гр,79.0,Ramstore,13.09.2026,Намалено од 98.0 ден.
Замрзнато & Зимница,Podravka Цвекло 680гр,65.0,Ramstore,13.09.2026,
Замрзнато & Зимница,Маслинки Каламата маринирани (мајч. душица и магдонос),45.0,КАМ,18.09.2026,
Замрзнато & Зимница,Маслинки зелени маринирани (анасон и коријандер),45.0,КАМ,18.09.2026,
Замрзнато & Риба,Лаврак свеж 1кг,949.0,Веро,19.09.2026,
Замрзнато & Риба,Ципура свежа 1кг,839.0,Веро,19.09.2026,
Зачини & Сосови,Podravka Вегета 250гр,95.0,Ramstore,13.09.2026,
Здрава храна,Bioplant Органска црна киноа 500гр,195.0,Пакет,28.08.2026,
Здрава храна,Biozona Златна ленена семенка 200гр,39.0,Ramstore,01.09.2026,
Здрава храна,Dm Bio Органичен оризов сируп 350г,295.0,Dm,01.09.2026,
Здрава храна,Dm Bio Органичен сируп од агаве 350г,275.0,Dm,01.09.2026,
Кафе & Чај,Grand Kafa Gold 200гр,125.0,КАМ,04.09.2026,
Кафе & Чај,Jacobs Monarch Инстант кафе 200гр,329.0,Ramstore,01.09.2026,
Кафе & Чај,Lavazza Crema e Aroma 1кг,899.0,Пакет,28.08.2026,
Кафе & Чај,Nescafe Classic 200гр,265.0,Ramstore,01.09.2026,
Леб & Печива,Жито Лукс Тост бел леб 500гр,52.0,Ramstore,01.09.2026,
Леб & Печива,Погача Цвет 470гр,42.0,КАМ,20.09.2026,
Месо,Врат на дрва 1кг,695.0,Јоцо Мес,19.09.2026,
Месо,Свински врат 1кг,345.0,Јоцо Мес,19.09.2026,
Месо,Свински ребра 1кг,355.0,Јоцо Мес,19.09.2026,
Месо,Ќебапи 1кг,305.0,Јоцо Мес,19.09.2026,
Млечни производи,Bimilk ProBio јогурт 1L,83.0,Vero,13.09.2026,
Млечни производи,Buttermilk Млечен намаз 200гр,75.0,Пакет,28.08.2026,
Млечни производи,Gazi Кашкавал кравји 1кг,590.0,КАМ,04.09.2026,
Млечни производи,Meggle Кујнски крем 20% 500мл,125.0,Пакет,28.08.2026,
Млечни производи,Моја кравица Чоколадно млеко 1л,82.5,Ramstore,01.09.2026,
Млечни производи,Бучен Козјак јогурт 3.2% 1кг,66.0,КАМ,18.09.2026,
Млечни производи,Грекос грчки јогурт 9% 400гр,72.0,КАМ,04.09.2026,
Млечни производи,Кораб Трница Јогурт 3.2% 1л,68.0,Пакет,28.08.2026,
Млечни производи,Олимпус грчки јогурт 0% 150г,44.0,КАМ,04.09.2026,
Млечни производи,Олимпус грчки јогурт 2% 150гр,47.0,КАМ,04.09.2026,
Млечни производи,z'bregov Јогурт 2.8% 1L,84.0,Vero,13.09.2026,
Овошје & Зеленчук,Банани 1кг,57.0,КАМ,20.09.2026,Цена за 1 кг
Останато,Квасец свеж Бит. 40гр,14.0,КАМ,20.09.2026,
Пијалоци,Aqua Viva Минерална вода 1.5л,28.0,Ramstore,13.09.2026,
Пијалоци,Coca Cola Zero 1.5L,79.0,Ramstore,01.09.2026,
Пијалоци,Pelisterka Природна минерална вода 1.5л,31.0,Ramstore,13.09.2026,
Пијалоци,Пелистерка Газирана вода 1.5л,34.0,Ramstore,01.09.2026,
Пијалоци,Фанта Тропик пијалок,36.0,Веро,19.09.2026,
Растителни млека,Alpro Овесно млеко Barista 1л,175.0,Ramstore,01.09.2026,
Свежа храна,Јајца А класа М 10/1,85.0,КАМ,04.09.2026,
Слатки & Грицки,2U Мусли со темно чоколадо 250гр,69.0,Пакет,28.08.2026,
Слатки & Грицки,Buffalo протеински флипс 50гр,64.0,Пакет,28.08.2026,
Слатки & Грицки,Frondi какао и млеко 225гр,85.0,Ramstore,01.09.2026,
Слатки & Грицки,Frondi кокос 250гр,85.0,Ramstore,01.09.2026,
Слатки & Грицки,Frondi макси ванила 250гр,85.0,Ramstore,01.09.2026,
Слатки & Грицки,Orbit мастики Peppermint 10/1,35.0,КАМ,04.09.2026,
Слатки & Грицки,Вафли Фронди 250гр,85.0,КАМ,20.09.2026,
Слатки & Грицки,Бисквит Апетит Свислион 570гр,64.0,КАМ,20.09.2026,
Слатки & Грицки,Медела Чоко-јафа штрудла 264гр,52.0,Пакет,28.08.2026,
Слатки & Грицки,Чоко Метро Океан 30гр,22.0,КАМ,20.09.2026,
Слатки & Грицки,Чипс Мега павлака,44.0,Веро,19.09.2026,
Тестенини & Масла,Barilla Спагети бр.5 500гр,79.0,Ramstore,01.09.2026,
Тестенини & Масла,Brilliant Сончогледово масло 1л,92.0,КАМ,04.09.2026,
Тестенини & Масла,Cristallo Маслиново масло 1л,495.0,Пакет,28.08.2026,
Тестенини & Масла,Zergut Пиперки печени солени 680гр,105.0,Ramstore,13.09.2026,
Училиштен прибор,Блок за цртање бр.5,35.0,Пакет,13.09.2026,
Училиштен прибор,Тетратка А4 мека корица, коцки,25.0,Пакет,13.09.2026,
Училиштен прибор,Тетратка А5, линии,15.0,Пакет,13.09.2026,
Хигиена,Frosch Senses Гел за туширање алое 300мл,179.0,Ramstore,01.09.2026,
Хигиена,Frosch Senses Kids Гел/шампон 300мл,189.0,Ramstore,01.09.2026,
Хигиена за дом,Bref WC топчиња Лимон 50г,69.0,Пакет,28.08.2026,
Хигиена за дом,Bref WC топчиња Pine 50г,69.0,Пакет,28.08.2026,
Хигиена за дом,Fino Easy Pack Вреќи за отпад 35л 30/1,75.0,Пакет,28.08.2026,
Хигиена за дом,General Fresh Кеси за ѓубре 60л 50/1,95.0,Пакет,28.08.2026,
Хигиена за дом,Magic Clean Жица за садови 3/1,35.0,Пакет,28.08.2026,
Хигиена за дом,Magic Clean Сунѓер за садови 2/1,30.0,Пакет,28.08.2026,
Хигиена за дом,Magic Clean Сунѓер за садови со грип 10/1,106.0,Пакет,13.09.2026,
Хигиена за дом,Omino Bianco Средство за теписи 300мл,223.0,Пакет,28.08.2026,
Хигиена за дом,Perfex Кујнски бришачи 50м 1 ролна,85.0,Пакет,28.08.2026,Купено повеќе пати
Хигиена за дом,Perfex Soft & Light Тоалетна 3-слојна 24/1,254.0,Пакет,28.08.2026,
Хигиена за дом,Perex Easy Wipe Сунѓерести крпи 10/1,308.0,Пакет,28.08.2026,
Хигиена за дом,Pulirapid средство за отстр. бигор 500мл,115.0,КАМ,04.09.2026,
Хигиена за дом,ViGO Кеси за мраз 192 коцки,49.0,Пакет,13.09.2026,
Хигиена за дом,WC NET Гел за одзатнување одвод 1л,191.0,Пакет,28.08.2026,
Хигиена за дом,Wc Net Кристал гел (blue / citrus) 750мл,90.0,Пакет,28.08.2026,
